ID,BioProject,BioSample,Run,Organism,lat,lon,counts
1261,PRJNA482684,SAMN09711185,SRR7593881,Daphnia pulex,42.2,-83.6,861
1262,PRJNA482684,SAMN09711185,SRR7593882,Daphnia pulex,42.2,-83.6,861
1263,PRJNA482684,SAMN09711185,SRR7593884,Daphnia pulex,42.2,-83.6,861
1264,PRJNA482684,SAMN09711185,SRR7593887,Daphnia pulex,42.2,-83.6,861
1265,PRJNA482684,SAMN09711185,SRR7593888,Daphnia pulex,42.2,-83.6,861
1266,PRJNA482684,SAMN09711185,SRR7593892,Daphnia pulex,42.2,-83.6,861
1267,PRJNA482684,SAMN09711185,SRR7593893,Daphnia pulex,42.2,-83.6,861
1268,PRJNA482684,SAMN09711185,SRR7593894,Daphnia pulex,42.2,-83.6,861
1269,PRJNA482684,SAMN09711185,SRR7593895,Daphnia pulex,42.2,-83.6,861
1270,PRJNA482684,SAMN09711185,SRR7593897,Daphnia pulex,42.2,-83.6,861
1271,PRJNA482684,SAMN09711185,SRR7593898,Daphnia pulex,42.2,-83.6,861
1272,PRJNA482684,SAMN09711185,SRR7593905,Daphnia pulex,42.2,-83.6,861
1273,PRJNA482684,SAMN09711185,SRR7593906,Daphnia pulex,42.2,-83.6,861
1274,PRJNA482684,SAMN09711185,SRR7593907,Daphnia pulex,42.2,-83.6,861
1275,PRJNA482684,SAMN09711185,SRR7593909,Daphnia pulex,42.2,-83.6,861
1276,PRJNA482684,SAMN09711185,SRR7593911,Daphnia pulex,42.2,-83.6,861
1277,PRJNA482684,SAMN09711185,SRR7593912,Daphnia pulex,42.2,-83.6,861
1278,PRJNA482684,SAMN09711185,SRR7593914,Daphnia pulex,42.2,-83.6,861
1279,PRJNA482684,SAMN09711185,SRR7593915,Daphnia pulex,42.2,-83.6,861
1280,PRJNA482684,SAMN09711185,SRR7593917,Daphnia pulex,42.2,-83.6,861
1281,PRJNA482684,SAMN09711185,SRR7593918,Daphnia pulex,42.2,-83.6,861
1282,PRJNA482684,SAMN09711185,SRR7593919,Daphnia pulex,42.2,-83.6,861
1283,PRJNA482684,SAMN09711185,SRR7593921,Daphnia pulex,42.2,-83.6,861
1284,PRJNA482684,SAMN09711185,SRR7593923,Daphnia pulex,42.2,-83.6,861
1285,PRJNA482684,SAMN09711185,SRR7593924,Daphnia pulex,42.2,-83.6,861
1286,PRJNA482684,SAMN09711185,SRR7593925,Daphnia pulex,42.2,-83.6,861
1287,PRJNA482684,SAMN09711185,SRR7593927,Daphnia pulex,42.2,-83.6,861
1288,PRJNA482684,SAMN09711185,SRR7593930,Daphnia pulex,42.2,-83.6,861
1289,PRJNA482684,SAMN09711183,SRR7594184,Daphnia pulex,40.2096,-87.3294,861
1290,PRJNA482684,SAMN09711183,SRR7594185,Daphnia pulex,40.2096,-87.3294,861
1291,PRJNA482684,SAMN09711183,SRR7594186,Daphnia pulex,40.2096,-87.3294,861
1292,PRJNA482684,SAMN09711183,SRR7594187,Daphnia pulex,40.2096,-87.3294,861
1293,PRJNA482684,SAMN09711183,SRR7594188,Daphnia pulex,40.2096,-87.3294,861
1294,PRJNA482684,SAMN09711183,SRR7594189,Daphnia pulex,40.2096,-87.3294,861
1295,PRJNA482684,SAMN09711183,SRR7594190,Daphnia pulex,40.2096,-87.3294,861
1296,PRJNA482684,SAMN09711183,SRR7594191,Daphnia pulex,40.2096,-87.3294,861
1297,PRJNA482684,SAMN09711183,SRR7594192,Daphnia pulex,40.2096,-87.3294,861
1298,PRJNA482684,SAMN09711183,SRR7594193,Daphnia pulex,40.2096,-87.3294,861
1299,PRJNA482684,SAMN09711183,SRR7594194,Daphnia pulex,40.2096,-87.3294,861
1300,PRJNA482684,SAMN09711183,SRR7594195,Daphnia pulex,40.2096,-87.3294,861
1301,PRJNA482684,SAMN09711183,SRR7594196,Daphnia pulex,40.2096,-87.3294,861
1302,PRJNA482684,SAMN09711183,SRR7594197,Daphnia pulex,40.2096,-87.3294,861
1303,PRJNA482684,SAMN09711183,SRR7594198,Daphnia pulex,40.2096,-87.3294,861
1304,PRJNA482684,SAMN09711183,SRR7594199,Daphnia pulex,40.2096,-87.3294,861
1305,PRJNA482684,SAMN09711183,SRR7594200,Daphnia pulex,40.2096,-87.3294,861
1306,PRJNA482684,SAMN09711183,SRR7594201,Daphnia pulex,40.2096,-87.3294,861
1307,PRJNA482684,SAMN09711183,SRR7594202,Daphnia pulex,40.2096,-87.3294,861
1308,PRJNA482684,SAMN09711183,SRR7594203,Daphnia pulex,40.2096,-87.3294,861
1309,PRJNA482684,SAMN09711183,SRR7594204,Daphnia pulex,40.2096,-87.3294,861
1310,PRJNA482684,SAMN09711183,SRR7594205,Daphnia pulex,40.2096,-87.3294,861
1311,PRJNA482684,SAMN09711183,SRR7594206,Daphnia pulex,40.2096,-87.3294,861
1312,PRJNA482684,SAMN09711183,SRR7594209,Daphnia pulex,40.2096,-87.3294,861
1313,PRJNA482684,SAMN09711183,SRR7594211,Daphnia pulex,40.2096,-87.3294,861
1314,PRJNA482684,SAMN09711183,SRR7594212,Daphnia pulex,40.2096,-87.3294,861
1315,PRJNA482684,SAMN09711183,SRR7594213,Daphnia pulex,40.2096,-87.3294,861
1316,PRJNA482684,SAMN09711183,SRR7594216,Daphnia pulex,40.2096,-87.3294,861
1317,PRJNA482684,SAMN09711183,SRR7594222,Daphnia pulex,40.2096,-87.3294,861
1318,PRJNA482684,SAMN09711183,SRR7594223,Daphnia pulex,40.2096,-87.3294,861
1319,PRJNA482684,SAMN09711183,SRR7594224,Daphnia pulex,40.2096,-87.3294,861
1320,PRJNA482684,SAMN09711183,SRR7594225,Daphnia pulex,40.2096,-87.3294,861
1321,PRJNA482684,SAMN09711183,SRR7594226,Daphnia pulex,40.2096,-87.3294,861
1322,PRJNA482684,SAMN09711183,SRR7594229,Daphnia pulex,40.2096,-87.3294,861
1323,PRJNA482684,SAMN09711183,SRR7594230,Daphnia pulex,40.2096,-87.3294,861
1324,PRJNA482684,SAMN09711183,SRR7594231,Daphnia pulex,40.2096,-87.3294,861
1325,PRJNA482684,SAMN09711183,SRR7594232,Daphnia pulex,40.2096,-87.3294,861
1326,PRJNA482684,SAMN09711183,SRR7594233,Daphnia pulex,40.2096,-87.3294,861
1327,PRJNA482684,SAMN09711183,SRR7594236,Daphnia pulex,40.2096,-87.3294,861
1328,PRJNA482684,SAMN09711183,SRR7594237,Daphnia pulex,40.2096,-87.3294,861
1329,PRJNA482684,SAMN09711183,SRR7594240,Daphnia pulex,40.2096,-87.3294,861
1330,PRJNA482684,SAMN09711183,SRR7594242,Daphnia pulex,40.2096,-87.3294,861
1331,PRJNA482684,SAMN09711183,SRR7594243,Daphnia pulex,40.2096,-87.3294,861
1332,PRJNA482684,SAMN09711183,SRR7594248,Daphnia pulex,40.2096,-87.3294,861
1333,PRJNA482684,SAMN09711183,SRR7594249,Daphnia pulex,40.2096,-87.3294,861
1334,PRJNA482684,SAMN09711183,SRR7594250,Daphnia pulex,40.2096,-87.3294,861
1335,PRJNA482684,SAMN09711183,SRR7594251,Daphnia pulex,40.2096,-87.3294,861
1336,PRJNA482684,SAMN09711183,SRR7594254,Daphnia pulex,40.2096,-87.3294,861
1337,PRJNA482684,SAMN09711183,SRR7594257,Daphnia pulex,40.2096,-87.3294,861
1338,PRJNA482684,SAMN09711183,SRR7594258,Daphnia pulex,40.2096,-87.3294,861
1339,PRJNA482684,SAMN09711183,SRR7594260,Daphnia pulex,40.2096,-87.3294,861
1340,PRJNA482684,SAMN09711183,SRR7594261,Daphnia pulex,40.2096,-87.3294,861
1341,PRJNA482684,SAMN09711183,SRR7594262,Daphnia pulex,40.2096,-87.3294,861
1342,PRJNA482684,SAMN09711183,SRR7594263,Daphnia pulex,40.2096,-87.3294,861
1343,PRJNA482684,SAMN09711183,SRR7594265,Daphnia pulex,40.2096,-87.3294,861
1344,PRJNA482684,SAMN09711183,SRR7594266,Daphnia pulex,40.2096,-87.3294,861
1345,PRJNA482684,SAMN09711183,SRR7594267,Daphnia pulex,40.2096,-87.3294,861
1346,PRJNA482684,SAMN09711183,SRR7594269,Daphnia pulex,40.2096,-87.3294,861
1347,PRJNA482684,SAMN09711183,SRR7594270,Daphnia pulex,40.2096,-87.3294,861
1348,PRJNA482684,SAMN09711183,SRR7594273,Daphnia pulex,40.2096,-87.3294,861
1349,PRJNA482684,SAMN09711183,SRR7594276,Daphnia pulex,40.2096,-87.3294,861
1350,PRJNA482684,SAMN09711183,SRR7594278,Daphnia pulex,40.2096,-87.3294,861
1351,PRJNA482684,SAMN09711177,SRR7589091,Daphnia pulex,40.1287,-88.214,861
1352,PRJNA482684,SAMN09711177,SRR7589092,Daphnia pulex,40.1287,-88.214,861
1353,PRJNA482684,SAMN09711177,SRR7589093,Daphnia pulex,40.1287,-88.214,861
1354,PRJNA482684,SAMN09711177,SRR7589094,Daphnia pulex,40.1287,-88.214,861
1355,PRJNA482684,SAMN09711177,SRR7589100,Daphnia pulex,40.1287,-88.214,861
1356,PRJNA482684,SAMN09711177,SRR7589105,Daphnia pulex,40.1287,-88.214,861
1357,PRJNA482684,SAMN09711177,SRR7589107,Daphnia pulex,40.1287,-88.214,861
1358,PRJNA482684,SAMN09711177,SRR7589108,Daphnia pulex,40.1287,-88.214,861
1359,PRJNA482684,SAMN09711177,SRR7589109,Daphnia pulex,40.1287,-88.214,861
1360,PRJNA482684,SAMN09711177,SRR7589110,Daphnia pulex,40.1287,-88.214,861
1361,PRJNA482684,SAMN09711177,SRR7589111,Daphnia pulex,40.1287,-88.214,861
1362,PRJNA482684,SAMN09711177,SRR7589112,Daphnia pulex,40.1287,-88.214,861
1363,PRJNA482684,SAMN09711177,SRR7589113,Daphnia pulex,40.1287,-88.214,861
1364,PRJNA482684,SAMN09711177,SRR7589114,Daphnia pulex,40.1287,-88.214,861
1365,PRJNA482684,SAMN09711177,SRR7589115,Daphnia pulex,40.1287,-88.214,861
1366,PRJNA482684,SAMN09711177,SRR7589116,Daphnia pulex,40.1287,-88.214,861
1367,PRJNA482684,SAMN09711177,SRR7589118,Daphnia pulex,40.1287,-88.214,861
1368,PRJNA482684,SAMN09711177,SRR7589120,Daphnia pulex,40.1287,-88.214,861
1369,PRJNA482684,SAMN09711177,SRR7589121,Daphnia pulex,40.1287,-88.214,861
1370,PRJNA482684,SAMN09711177,SRR7589122,Daphnia pulex,40.1287,-88.214,861
1371,PRJNA482684,SAMN09711177,SRR7589123,Daphnia pulex,40.1287,-88.214,861
1372,PRJNA482684,SAMN09711177,SRR7589124,Daphnia pulex,40.1287,-88.214,861
1373,PRJNA482684,SAMN09711177,SRR7589125,Daphnia pulex,40.1287,-88.214,861
1374,PRJNA482684,SAMN09711177,SRR7589126,Daphnia pulex,40.1287,-88.214,861
1375,PRJNA482684,SAMN09711177,SRR7589127,Daphnia pulex,40.1287,-88.214,861
1376,PRJNA482684,SAMN09711177,SRR7589128,Daphnia pulex,40.1287,-88.214,861
1377,PRJNA482684,SAMN09711177,SRR7589130,Daphnia pulex,40.1287,-88.214,861
1378,PRJNA482684,SAMN09711177,SRR7589134,Daphnia pulex,40.1287,-88.214,861
1379,PRJNA482684,SAMN09711177,SRR7589136,Daphnia pulex,40.1287,-88.214,861
1380,PRJNA482684,SAMN09711177,SRR7589137,Daphnia pulex,40.1287,-88.214,861
1381,PRJNA482684,SAMN09711177,SRR7589138,Daphnia pulex,40.1287,-88.214,861
1382,PRJNA482684,SAMN09711177,SRR7589141,Daphnia pulex,40.1287,-88.214,861
1383,PRJNA482684,SAMN09711177,SRR7589144,Daphnia pulex,40.1287,-88.214,861
1384,PRJNA482684,SAMN09711177,SRR7589145,Daphnia pulex,40.1287,-88.214,861
1385,PRJNA482684,SAMN09711177,SRR7589146,Daphnia pulex,40.1287,-88.214,861
1386,PRJNA482684,SAMN09711177,SRR7589148,Daphnia pulex,40.1287,-88.214,861
1387,PRJNA482684,SAMN09711177,SRR7589150,Daphnia pulex,40.1287,-88.214,861
1388,PRJNA482684,SAMN09711177,SRR7589151,Daphnia pulex,40.1287,-88.214,861
1389,PRJNA482684,SAMN09711177,SRR7589152,Daphnia pulex,40.1287,-88.214,861
1390,PRJNA482684,SAMN09711177,SRR7589153,Daphnia pulex,40.1287,-88.214,861
1391,PRJNA482684,SAMN09711177,SRR7589155,Daphnia pulex,40.1287,-88.214,861
1392,PRJNA482684,SAMN09711177,SRR7589156,Daphnia pulex,40.1287,-88.214,861
1393,PRJNA482684,SAMN09711177,SRR7589157,Daphnia pulex,40.1287,-88.214,861
1394,PRJNA482684,SAMN09711177,SRR7589160,Daphnia pulex,40.1287,-88.214,861
1395,PRJNA482684,SAMN09711177,SRR7589162,Daphnia pulex,40.1287,-88.214,861
1396,PRJNA482684,SAMN09711177,SRR7589164,Daphnia pulex,40.1287,-88.214,861
1397,PRJNA482684,SAMN09711177,SRR7589166,Daphnia pulex,40.1287,-88.214,861
1398,PRJNA482684,SAMN09711177,SRR7589167,Daphnia pulex,40.1287,-88.214,861
1399,PRJNA482684,SAMN09711177,SRR7589168,Daphnia pulex,40.1287,-88.214,861
1400,PRJNA482684,SAMN09711177,SRR7589169,Daphnia pulex,40.1287,-88.214,861
1401,PRJNA482684,SAMN09711177,SRR7589171,Daphnia pulex,40.1287,-88.214,861
1402,PRJNA482684,SAMN09711177,SRR7589174,Daphnia pulex,40.1287,-88.214,861
1403,PRJNA482684,SAMN09711177,SRR7589175,Daphnia pulex,40.1287,-88.214,861
1404,PRJNA482684,SAMN09711177,SRR7589177,Daphnia pulex,40.1287,-88.214,861
1405,PRJNA482684,SAMN09711177,SRR7589180,Daphnia pulex,40.1287,-88.214,861
1406,PRJNA482684,SAMN09711177,SRR7589181,Daphnia pulex,40.1287,-88.214,861
1407,PRJNA482684,SAMN09711177,SRR7589183,Daphnia pulex,40.1287,-88.214,861
1408,PRJNA482684,SAMN09711177,SRR7589088,Daphnia pulex,40.1287,-88.214,861
1409,PRJNA482684,SAMN09711177,SRR7589089,Daphnia pulex,40.1287,-88.214,861
1410,PRJNA482684,SAMN09711177,SRR7589090,Daphnia pulex,40.1287,-88.214,861
1411,PRJNA482684,SAMN09711177,SRR7589095,Daphnia pulex,40.1287,-88.214,861
1412,PRJNA482684,SAMN09711177,SRR7589096,Daphnia pulex,40.1287,-88.214,861
1413,PRJNA482684,SAMN09711177,SRR7589097,Daphnia pulex,40.1287,-88.214,861
1414,PRJNA482684,SAMN09711177,SRR7589098,Daphnia pulex,40.1287,-88.214,861
1415,PRJNA482684,SAMN09711177,SRR7589099,Daphnia pulex,40.1287,-88.214,861
1416,PRJNA482684,SAMN09711177,SRR7589101,Daphnia pulex,40.1287,-88.214,861
1417,PRJNA482684,SAMN09711177,SRR7589102,Daphnia pulex,40.1287,-88.214,861
1418,PRJNA482684,SAMN09711177,SRR7589103,Daphnia pulex,40.1287,-88.214,861
1419,PRJNA482684,SAMN09711177,SRR7589104,Daphnia pulex,40.1287,-88.214,861
1420,PRJNA482684,SAMN09711177,SRR7589106,Daphnia pulex,40.1287,-88.214,861
1421,PRJNA482684,SAMN09711177,SRR7589117,Daphnia pulex,40.1287,-88.214,861
1422,PRJNA482684,SAMN09711177,SRR7589119,Daphnia pulex,40.1287,-88.214,861
1423,PRJNA482684,SAMN09711177,SRR7589129,Daphnia pulex,40.1287,-88.214,861
1424,PRJNA482684,SAMN09711177,SRR7589131,Daphnia pulex,40.1287,-88.214,861
1425,PRJNA482684,SAMN09711177,SRR7589132,Daphnia pulex,40.1287,-88.214,861
1426,PRJNA482684,SAMN09711177,SRR7589133,Daphnia pulex,40.1287,-88.214,861
1427,PRJNA482684,SAMN09711177,SRR7589135,Daphnia pulex,40.1287,-88.214,861
1428,PRJNA482684,SAMN09711177,SRR7589139,Daphnia pulex,40.1287,-88.214,861
