vcf	model	NA_pop_est	EU_pop_est	t_est	m_est	theta	file	coeff
filt	split_mig	6.68178453322559	1.09997371309018	9.81592622327113	0.00875875663216888	13416.588834386	480	4912.34213326962
filt	split_mig	6.74791757718364	1.10906682898754	9.95159704275861	0.00891374479412005	13275.2168452637	491	4860.58027433498
filt	split_mig	6.79852172664737	1.10813618356764	9.9684522328095	0.00864714678665084	13220.8230860793	502	4840.66457457501
filt	split_mig	6.77612020329194	1.11237236832313	9.98879522605892	0.00874924551615932	13224.5412656396	513	4842.02594670458
filt	split_mig	6.76766737888342	1.10994166629107	9.97387739378981	0.00878939429259739	13243.4280654044	524	4848.94114872743
filt	split_mig	6.73153340027893	1.10700094244212	9.91325373809025	0.00890502995719413	13312.7781453857	535	4874.33294719745
filt	split_mig	6.7596116877459	1.10881855973659	9.94617697279907	0.00878155613055361	13266.7612115174	546	4857.48433344955
filt	split_mig	6.74143296373899	1.10176446222203	9.9261625251304	0.00888700425253229	13303.5617863269	557	4870.95847478286
filt	split_mig	6.73667499477703	1.10428400989967	9.92185390536099	0.00881573518513759	13305.7594511635	558	4871.76312652444
filt	split_mig	6.78419287637229	1.10876510455109	9.98722223985252	0.00867934884912482	13222.1249915197	569	4841.14125348554
filt	split_mig	6.76848317200151	1.11188594093431	9.96254117116137	0.00881037600003242	13246.876904108	580	4850.20390455038
filt	split_mig	6.79098195700272	1.10844148052887	9.97356180969854	0.0088303451491402	13226.5956956555	591	4842.77815453116
filt	split_mig	6.80335888506075	1.10352730642572	9.98192766317355	0.0091499130508194	13222.4868996501	602	4841.27376232063
filt	split_mig	6.70543834962705	1.0983464268072	9.84056650933164	0.00884363518130086	13385.7300361538	613	4901.04351060112
filt	split_mig	6.80056928140614	1.11376579204474	9.98336799606114	0.0086947400957254	13204.6369021066	624	4834.73817446785
filt	split_mig	6.73611351685147	1.10287085215893	9.94919841451084	0.00887352230178668	13293.6781756294	635	4867.33969523632
filt	split_mig	6.71469627527781	1.10752496650475	9.89223269136287	0.00887858871802102	13337.7202266834	646	4883.46522652439
filt	split_mig	6.7740493470944	1.10910696184084	9.97792953069062	0.00886225447571783	13237.9671421887	657	4846.94168943641
filt	split_mig	6.76425199733143	1.10698673286542	9.9449732940523	0.00884147714913863	13266.7014758736	668	4857.46246187523
filt	split_mig	6.79237921566973	1.0977485399263	9.97164564227486	0.00897883657077158	13241.9896263151	669	4848.41447946509
filt	split_mig	6.71823983919069	1.10289770789515	9.920491212222	0.00902912718273176	13327.0074646163	680	4879.5428619714
filt	split_mig	6.7076166077063	1.10205705091726	9.90304674219683	0.00890603482015886	13345.0167895486	691	4886.13678586286
filt	split_mig	6.73842902623096	1.10377865874136	9.90833506145531	0.00881802872327246	13312.4723988751	702	4874.22100134558
filt	split_mig	6.7556226124448	1.09990758790138	9.95586898805068	0.00892512345741105	13278.0211498756	713	4861.60704081562
filt	split_mig	6.75838992701221	1.10187836253962	9.92086710624609	0.00891165076119897	13292.4259830833	724	4866.88121817636
filt	split_mig	6.74846699625681	1.10519790519488	9.92210109650638	0.00886094624070585	13295.1850820055	735	4867.89143307172
filt	split_mig	6.7627672219565	1.10745247115516	9.97272714196121	0.00880416994344062	13251.4885496692	746	4851.89240980856
filt	split_mig	6.72175730750115	1.09842495033372	9.91852215964512	0.00888940269857317	13328.7150869517	757	4880.16808983292
filt	split_mig	8.94505033958665	1.81841471193886	8.72905834512002	0.161094148140461	12505.3832395863	768	4578.71383991881
filt	split_mig	6.72973415390034	1.10114047724131	9.91229647339992	0.00892306016076583	13322.4884119707	779	4877.88825863017
